date,confidence_level,pattern,days_consumption,weeks_coverage,lme_trend_60d,global_trend_60d,diagnostic_notes
2000-04-14,HIGH,ALIGNED,9.244326923076924,,-14.494400259698104,,Signals aligned - high confidence
2000-04-17,HIGH,ALIGNED,9.267490384615387,,-15.775708088798169,,Signals aligned - high confidence
2000-04-18,HIGH,ALIGNED,9.123596153846156,,-17.32603994402748,,Signals aligned - high confidence
2000-04-19,HIGH,ALIGNED,9.11552403846154,,-17.31767102791838,,Signals aligned - high confidence
2000-04-20,HIGH,ALIGNED,9.089552884615387,,-18.170616113744074,,Signals aligned - high confidence
2000-04-21,HIGH,ALIGNED,9.089552884615387,,-18.126639901368826,,Signals aligned - high confidence
2000-04-24,HIGH,ALIGNED,9.089552884615387,,-18.048919406385465,,Signals aligned - high confidence
2000-04-25,HIGH,ALIGNED,9.084639423076924,,-17.955625990491285,,Signals aligned - high confidence
2000-04-26,HIGH,ALIGNED,9.030591346153848,,-18.324657186389025,,Signals aligned - high confidence
2000-04-27,HIGH,ALIGNED,8.95829326923077,,-18.736071314867875,,Signals aligned - high confidence
2000-04-28,HIGH,ALIGNED,8.88283653846154,,-19.494894875791214,,Signals aligned - high confidence
2000-05-01,HIGH,ALIGNED,8.88283653846154,,-19.67119461724006,,Signals aligned - high confidence
2000-05-02,HIGH,ALIGNED,8.820716346153848,,-20.182291666666664,,Signals aligned - high confidence
2000-05-03,HIGH,ALIGNED,8.733326923076925,,-20.965539145624902,,Signals aligned - high confidence
2000-05-04,HIGH,ALIGNED,8.726307692307694,,-21.09171691526499,,Signals aligned - high confidence
2000-05-05,HIGH,ALIGNED,8.715427884615385,,-21.029701710869432,,Signals aligned - high confidence
2000-05-08,HIGH,ALIGNED,8.600312500000001,,-22.17670223577236,,Signals aligned - high confidence
2000-05-09,HIGH,ALIGNED,8.586975961538464,,-22.10690522428449,,Signals aligned - high confidence
2000-05-10,HIGH,ALIGNED,8.475370192307693,,-23.0114451493608,,Signals aligned - high confidence
2000-05-11,HIGH,ALIGNED,8.26444230769231,,-24.586068855084065,,Signals aligned - high confidence
2000-05-12,HIGH,ALIGNED,8.132831730769233,,-25.625060179092984,,Signals aligned - high confidence
2000-05-15,HIGH,ALIGNED,8.113528846153848,,-25.517108061086414,,Signals aligned - high confidence
2000-05-16,HIGH,ALIGNED,8.105807692307694,,-25.28226197793666,,Signals aligned - high confidence
2000-05-17,HIGH,ALIGNED,7.951033653846156,,-26.74685549843179,,Signals aligned - high confidence
2000-05-18,HIGH,ALIGNED,7.762567307692309,,-28.020046862796143,,Signals aligned - high confidence
2000-05-19,HIGH,ALIGNED,7.707466346153848,,-30.872863483269853,,Signals aligned - high confidence
2000-05-22,HIGH,ALIGNED,7.651663461538463,,-31.470421826868677,,Signals aligned - high confidence
2000-05-23,HIGH,ALIGNED,7.61446153846154,,-32.15971983365124,,Signals aligned - high confidence
2000-05-24,HIGH,ALIGNED,7.4288028846153855,,-34.27622182202074,,Signals aligned - high confidence
2000-05-25,HIGH,ALIGNED,7.380370192307693,,-35.251554898700654,,Signals aligned - high confidence
2000-05-26,HIGH,ALIGNED,7.369490384615386,,-34.9725929825648,,Signals aligned - high confidence
2000-05-29,HIGH,ALIGNED,7.369490384615386,,-35.113253607737704,,Signals aligned - high confidence
2000-05-30,HIGH,ALIGNED,7.345625000000001,,-35.874260853580076,,Signals aligned - high confidence
2000-05-31,HIGH,ALIGNED,7.328778846153847,,-36.356709640059734,,Signals aligned - high confidence
2000-06-01,HIGH,ALIGNED,7.291225961538463,,-35.67514010589219,,Signals aligned - high confidence
2000-06-02,HIGH,ALIGNED,7.29052403846154,,-35.75294590665883,,Signals aligned - high confidence
2000-06-05,HIGH,ALIGNED,7.24489903846154,,-34.97038810483871,,Signals aligned - high confidence
2000-06-06,HIGH,ALIGNED,7.237528846153848,,-32.71997650973867,,Signals aligned - high confidence
2000-06-07,HIGH,ALIGNED,7.219629807692309,,-31.087735754246093,,Signals aligned - high confidence
2000-06-08,HIGH,ALIGNED,7.209802884615386,,-30.773378264532436,,Signals aligned - high confidence
2000-06-09,HIGH,ALIGNED,7.199625000000001,,-30.80814894765246,,Signals aligned - high confidence
2000-06-12,HIGH,ALIGNED,7.155052884615386,,-31.108708140438612,,Signals aligned - high confidence
2000-06-13,HIGH,ALIGNED,7.133995192307694,,-30.90519732145892,,Signals aligned - high confidence
2000-06-14,HIGH,ALIGNED,7.075033653846155,,-31.037903667214017,,Signals aligned - high confidence
2000-06-15,HIGH,ALIGNED,7.027302884615386,,-31.272739754239034,,Signals aligned - high confidence
2000-06-16,HIGH,ALIGNED,7.058538461538463,,-30.777173538927517,,Signals aligned - high confidence
2000-06-19,HIGH,ALIGNED,6.931841346153847,,-31.780187897209178,,Signals aligned - high confidence
2000-06-20,HIGH,ALIGNED,6.799528846153847,,-32.78984250329564,,Signals aligned - high confidence
2000-06-21,HIGH,ALIGNED,6.646860576923078,,-34.26240888580354,,Signals aligned - high confidence
2000-06-22,HIGH,ALIGNED,6.54227403846154,,-34.0398428930328,,Signals aligned - high confidence
2000-06-23,HIGH,ALIGNED,6.5370096153846164,,-33.73416820833926,,Signals aligned - high confidence
2000-06-26,HIGH,ALIGNED,6.543326923076925,,-33.295169946332734,,Signals aligned - high confidence
2000-06-27,HIGH,ALIGNED,6.559471153846155,,-32.66078184110971,,Signals aligned - high confidence
2000-06-28,HIGH,ALIGNED,6.531745192307693,,-32.56639733323671,,Signals aligned - high confidence
2000-06-29,HIGH,ALIGNED,6.529288461538463,,-32.37368229734642,,Signals aligned - high confidence
2000-06-30,HIGH,ALIGNED,6.515600961538463,,-31.529836984583614,,Signals aligned - high confidence
2000-07-03,HIGH,ALIGNED,6.459798076923078,,-31.466656737535835,,Signals aligned - high confidence
2000-07-04,HIGH,ALIGNED,6.4211923076923085,,-31.78988181784289,,Signals aligned - high confidence
2000-07-05,HIGH,ALIGNED,6.366091346153847,,-31.1560649764688,,Signals aligned - high confidence
2000-07-06,HIGH,ALIGNED,6.355562500000001,,-31.07897240723121,,Signals aligned - high confidence
2000-07-07,HIGH,ALIGNED,6.380129807692309,,-30.9832953682612,,Signals aligned - high confidence
2000-07-10,HIGH,ALIGNED,6.361177884615386,,-31.360296902219197,,Signals aligned - high confidence
2000-07-11,HIGH,ALIGNED,6.351350961538462,,-30.385443914448373,,Signals aligned - high confidence
2000-07-12,HIGH,ALIGNED,6.340120192307693,,-30.447002656604937,,Signals aligned - high confidence
2000-07-13,HIGH,ALIGNED,6.2951971153846165,,-30.74249971041353,,Signals aligned - high confidence
2000-07-14,HIGH,ALIGNED,6.282562500000001,,-30.881501216263175,,Signals aligned - high confidence
2000-07-17,HIGH,ALIGNED,6.250975961538463,,-31.229004980887296,,Signals aligned - high confidence
2000-07-18,HIGH,ALIGNED,6.244658653846155,,-31.26134827119954,,Signals aligned - high confidence
2000-07-19,HIGH,ALIGNED,6.224653846153847,,-31.071470211029496,,Signals aligned - high confidence
2000-07-20,HIGH,ALIGNED,6.166745192307693,,-31.161606268364352,,Signals aligned - high confidence
2000-07-21,HIGH,ALIGNED,6.1309471153846165,,-30.979849861714737,,Signals aligned - high confidence
2000-07-24,HIGH,ALIGNED,6.112346153846155,,-31.189253259581196,,Signals aligned - high confidence
2000-07-25,HIGH,ALIGNED,6.080408653846155,,-31.066725022878284,,Signals aligned - high confidence
2000-07-26,HIGH,ALIGNED,6.039346153846155,,-30.847130686384826,,Signals aligned - high confidence
2000-07-27,HIGH,ALIGNED,5.8578990384615395,,-32.87081724581724,,Signals aligned - high confidence
2000-07-28,HIGH,ALIGNED,5.829471153846155,,-33.1131961502839,,Signals aligned - high confidence
2000-07-31,HIGH,ALIGNED,5.823504807692308,,-32.287288308508465,,Signals aligned - high confidence
2000-08-01,HIGH,ALIGNED,5.703125000000001,,-33.584011117014754,,Signals aligned - high confidence
2000-08-02,HIGH,ALIGNED,5.631879807692309,,-33.550043480061284,,Signals aligned - high confidence
2000-08-03,HIGH,ALIGNED,5.614331730769232,,-32.066417530151185,,Signals aligned - high confidence
2000-08-04,HIGH,ALIGNED,5.5293990384615395,,-32.01139256893799,,Signals aligned - high confidence
2000-08-07,HIGH,ALIGNED,5.463067307692309,,-32.667185742711304,,Signals aligned - high confidence
2000-08-08,HIGH,ALIGNED,5.450432692307693,,-32.75891929338414,,Signals aligned - high confidence
2000-08-09,HIGH,ALIGNED,5.446572115384616,,-31.49856543809314,,Signals aligned - high confidence
2000-08-10,HIGH,ALIGNED,5.465875000000001,,-29.586761913373728,,Signals aligned - high confidence
2000-08-11,HIGH,ALIGNED,5.471490384615386,,-29.010518646691864,,Signals aligned - high confidence
2000-08-14,HIGH,ALIGNED,5.463067307692309,,-28.60288046968168,,Signals aligned - high confidence
2000-08-15,HIGH,ALIGNED,5.425163461538462,,-28.751843657817112,,Signals aligned - high confidence
2000-08-16,HIGH,ALIGNED,5.407615384615386,,-27.207445552038557,,Signals aligned - high confidence
2000-08-17,HIGH,ALIGNED,5.403052884615386,,-26.791573541300107,,Signals aligned - high confidence
2000-08-18,HIGH,ALIGNED,5.308995192307694,,-27.95980569578055,,Signals aligned - high confidence
2000-08-21,HIGH,ALIGNED,5.338826923076924,,-27.555005238594156,,Signals aligned - high confidence
2000-08-22,HIGH,ALIGNED,5.370764423076924,,-26.88485427615862,,Signals aligned - high confidence
2000-08-23,HIGH,ALIGNED,5.409019230769232,,-26.194808926348045,,Signals aligned - high confidence
2000-08-24,HIGH,ALIGNED,5.407264423076924,,-25.83874849578821,,Signals aligned - high confidence
2000-08-25,HIGH,ALIGNED,5.378485576923078,,-26.226351513984504,,Signals aligned - high confidence
2000-08-28,HIGH,ALIGNED,5.378485576923078,,-25.76175943419077,,Signals aligned - high confidence
2000-08-29,HIGH,ALIGNED,5.391822115384616,,-25.501891184172244,,Signals aligned - high confidence
2000-08-30,HIGH,ALIGNED,5.34233653846154,,-26.002625054688643,,Signals aligned - high confidence
2000-08-31,HIGH,ALIGNED,5.225817307692308,,-27.51788930535949,,Signals aligned - high confidence
2000-09-01,HIGH,ALIGNED,5.2240625000000005,,-27.439797211660334,,Signals aligned - high confidence
2000-09-04,HIGH,ALIGNED,5.215639423076924,,-27.10550841222348,,Signals aligned - high confidence
2000-09-05,HIGH,ALIGNED,5.2180961538461546,,-26.855905937915093,,Signals aligned - high confidence
2000-09-06,HIGH,ALIGNED,4.9369759615384625,,-30.219752963936706,,Signals aligned - high confidence
2000-09-07,HIGH,ALIGNED,4.9289038461538475,,-29.86066024072317,,Signals aligned - high confidence
2000-09-08,HIGH,ALIGNED,4.893807692307693,,-30.668257756563243,,Signals aligned - high confidence
2000-09-11,HIGH,ALIGNED,4.875206730769231,,-29.669383828666906,,Signals aligned - high confidence
2000-09-12,HIGH,ALIGNED,4.859764423076924,,-28.527924021885,,Signals aligned - high confidence
2000-09-13,HIGH,ALIGNED,4.851692307692309,,-27.007761761444637,,Signals aligned - high confidence
2000-09-14,HIGH,ALIGNED,4.7576346153846165,,-27.27857947535004,,Signals aligned - high confidence
2000-09-15,HIGH,ALIGNED,4.746403846153847,,-27.391817888972405,,Signals aligned - high confidence
2000-09-18,HIGH,ALIGNED,4.714817307692308,,-27.944647071443896,,Signals aligned - high confidence
2000-09-19,HIGH,ALIGNED,4.713413461538463,,-28.143392188336016,,Signals aligned - high confidence
2000-09-20,HIGH,ALIGNED,4.706394230769232,,-27.945838482617802,,Signals aligned - high confidence
2000-09-21,HIGH,ALIGNED,4.704639423076924,,-27.945603096108364,,Signals aligned - high confidence
2000-09-22,HIGH,ALIGNED,4.700427884615386,,-27.85887422569351,,Signals aligned - high confidence
2000-09-25,HIGH,ALIGNED,4.682879807692308,,-27.50733456481582,,Signals aligned - high confidence
2000-09-26,HIGH,ALIGNED,4.623216346153847,,-28.000655881066905,,Signals aligned - high confidence
2000-09-27,HIGH,ALIGNED,4.612687500000001,,-27.542863443409228,,Signals aligned - high confidence
2000-09-28,HIGH,ALIGNED,4.59864903846154,,-27.64371307084875,,Signals aligned - high confidence
2000-09-29,HIGH,ALIGNED,4.594086538461539,,-27.99383904505198,,Signals aligned - high confidence
2000-10-02,HIGH,ALIGNED,4.591629807692309,,-27.817931034482758,,Signals aligned - high confidence
2000-10-03,HIGH,ALIGNED,4.586014423076924,,-27.79466209869039,,Signals aligned - high confidence
2000-10-04,HIGH,ALIGNED,4.553725961538462,,-28.176030999169665,,Signals aligned - high confidence
2000-10-05,HIGH,ALIGNED,4.5519711538461545,,-27.69136421921169,,Signals aligned - high confidence
2000-10-06,HIGH,ALIGNED,4.51441826923077,,-28.143679124071287,,Signals aligned - high confidence
2000-10-09,HIGH,ALIGNED,4.512312500000001,,-27.814272079052273,,Signals aligned - high confidence
2000-10-10,HIGH,ALIGNED,4.511610576923077,,-27.75248693306357,,Signals aligned - high confidence
2000-10-11,HIGH,ALIGNED,4.5449519230769235,,-26.98466396030672,,Signals aligned - high confidence
2000-10-12,HIGH,ALIGNED,4.5933846153846165,,-25.513630413749933,,Signals aligned - high confidence
2000-10-13,HIGH,ALIGNED,4.584961538461539,,-25.216097086267098,,Signals aligned - high confidence
2000-10-16,HIGH,ALIGNED,4.58285576923077,,-25.022967386311436,,Signals aligned - high confidence
2000-10-17,HIGH,ALIGNED,4.579346153846155,,-24.686868686868692,,Signals aligned - high confidence
2000-10-18,HIGH,ALIGNED,4.566711538461539,,-24.384007438400744,,Signals aligned - high confidence
2000-10-19,HIGH,ALIGNED,4.59864903846154,,-21.49661494218441,,Signals aligned - high confidence
2000-10-20,HIGH,ALIGNED,4.709903846153847,,-19.20529801324503,,Signals aligned - high confidence
2000-10-23,HIGH,ALIGNED,4.707096153846154,,-19.170734647140364,,Signals aligned - high confidence
2000-10-24,HIGH,ALIGNED,4.685687500000001,,-17.84,,Signals aligned - high confidence
2000-10-25,HIGH,ALIGNED,4.685687500000001,,-16.800648096217362,,Signals aligned - high confidence
2000-10-26,HIGH,ALIGNED,4.713062500000001,,-16.053009939363626,,Signals aligned - high confidence
2000-10-27,HIGH,ALIGNED,4.71516826923077,,-14.725483973341792,,Signals aligned - high confidence
2000-10-30,HIGH,ALIGNED,4.755528846153847,,-12.95130412437363,,Signals aligned - high confidence
2000-10-31,HIGH,ALIGNED,4.659365384615385,,-14.513844172569224,,Signals aligned - high confidence
2000-11-01,HIGH,ALIGNED,4.670596153846155,,-14.247052000773241,,Signals aligned - high confidence
2000-11-02,HIGH,ALIGNED,4.667437500000001,,-14.607679465776291,,Signals aligned - high confidence
2000-11-03,HIGH,ALIGNED,4.653399038461539,,-14.951892238614494,,Signals aligned - high confidence
2000-11-06,HIGH,ALIGNED,4.653048076923078,,-14.827187459848389,,Signals aligned - high confidence
2000-11-07,HIGH,ALIGNED,4.643923076923078,,-14.400310518825199,,Signals aligned - high confidence
2000-11-08,HIGH,ALIGNED,4.579346153846155,,-15.316718587746625,,Signals aligned - high confidence
2000-11-09,HIGH,ALIGNED,4.579346153846155,,-15.245209483598575,,Signals aligned - high confidence
2000-11-10,HIGH,ALIGNED,4.567413461538463,,-13.968400872611886,,Signals aligned - high confidence
2000-11-13,HIGH,ALIGNED,4.537581730769231,,-15.007888509071787,,Signals aligned - high confidence
2000-11-14,HIGH,ALIGNED,4.511610576923077,,-15.996863360125468,,Signals aligned - high confidence
2000-11-15,HIGH,ALIGNED,4.510557692307693,,-16.610433428497274,,Signals aligned - high confidence
2000-11-16,HIGH,ALIGNED,4.497923076923078,,-16.81703121957552,,Signals aligned - high confidence
2000-11-17,HIGH,ALIGNED,4.4835336538461545,,-16.639477977161498,,Signals aligned - high confidence
2000-11-20,HIGH,ALIGNED,4.47125,,-16.8678629690049,,Signals aligned - high confidence
2000-11-21,HIGH,ALIGNED,4.441067307692308,,-17.633274751025183,,Signals aligned - high confidence
2000-11-22,HIGH,ALIGNED,4.423519230769232,,-17.198791223229538,,Signals aligned - high confidence
2000-11-23,HIGH,ALIGNED,4.420360576923078,,-15.413028878441903,,Signals aligned - high confidence
2000-11-24,HIGH,ALIGNED,4.417552884615385,,-15.438360765871684,,Signals aligned - high confidence
2000-11-27,HIGH,ALIGNED,4.417201923076924,,-15.308525671219975,,Signals aligned - high confidence
2000-11-28,HIGH,ALIGNED,4.4200096153846165,,-15.294592413236485,,Signals aligned - high confidence
2000-11-29,HIGH,ALIGNED,4.415096153846155,,-10.570839553565081,,Signals aligned - high confidence
2000-11-30,HIGH,ALIGNED,4.389125000000001,,-10.951295927086303,,Signals aligned - high confidence
2000-12-01,HIGH,ALIGNED,4.4049182692307705,,-9.989959839357432,,Signals aligned - high confidence
2000-12-04,HIGH,ALIGNED,4.32279326923077,,-11.331077676193225,,Signals aligned - high confidence
2000-12-05,HIGH,ALIGNED,4.312615384615385,,-11.25875640933054,,Signals aligned - high confidence
2000-12-06,HIGH,ALIGNED,4.307701923076924,,-11.212384259259256,,Signals aligned - high confidence
2000-12-07,HIGH,ALIGNED,4.305245192307693,,-9.508704632635002,,Signals aligned - high confidence
2000-12-08,HIGH,ALIGNED,4.255408653846154,,-10.344572611653359,,Signals aligned - high confidence
2000-12-11,HIGH,ALIGNED,4.210134615384616,,-10.70418341521513,,Signals aligned - high confidence
2000-12-12,HIGH,ALIGNED,4.179951923076924,,-11.317944899478782,,Signals aligned - high confidence
2000-12-13,HIGH,ALIGNED,4.175389423076924,,-11.282624906785976,,Signals aligned - high confidence
2000-12-14,HIGH,ALIGNED,4.118182692307693,,-12.465497948526671,,Signals aligned - high confidence
2000-12-15,HIGH,ALIGNED,4.101336538461539,,-12.745464048383482,,Signals aligned - high confidence
2000-12-18,HIGH,ALIGNED,4.177846153846154,,-10.784681106198002,,Signals aligned - high confidence
2000-12-19,HIGH,ALIGNED,4.22241826923077,,-8.669247703636229,,Signals aligned - high confidence
2000-12-20,HIGH,ALIGNED,4.2578653846153856,,-7.692307692307687,,Signals aligned - high confidence
2000-12-21,HIGH,ALIGNED,4.319634615384616,,-6.0673128291231055,,Signals aligned - high confidence
2000-12-22,HIGH,ALIGNED,4.383509615384616,,-4.583651642475173,,Signals aligned - high confidence
2000-12-25,HIGH,ALIGNED,4.383509615384616,,-4.532599556676608,,Signals aligned - high confidence
2000-12-26,HIGH,ALIGNED,4.383509615384616,,-4.415703681028549,,Signals aligned - high confidence
2000-12-27,HIGH,ALIGNED,4.48248076923077,,-1.5645472061657006,,Signals aligned - high confidence
2000-12-28,HIGH,ALIGNED,4.481076923076924,,-1.5574402467232074,,Signals aligned - high confidence
2000-12-29,HIGH,ALIGNED,4.523192307692309,,0.19435590453238394,,Signals aligned - high confidence
2001-01-01,HIGH,ALIGNED,4.523192307692309,,0.24111379015321344,,Signals aligned - high confidence
2001-01-02,HIGH,ALIGNED,4.543899038461539,,0.7156748346946795,,Signals aligned - high confidence
2001-01-03,HIGH,ALIGNED,4.548812500000001,,0.08494208494207456,,Signals aligned - high confidence
2001-01-04,HIGH,ALIGNED,4.555831730769231,,-0.817542787286063,,Signals aligned - high confidence
2001-01-05,HIGH,ALIGNED,4.596894230769232,,0.260257195345992,,Signals aligned - high confidence
2001-01-08,HIGH,ALIGNED,4.577591346153847,,-0.11487210905192224,,Signals aligned - high confidence
2001-01-09,HIGH,ALIGNED,4.566009615384616,,-0.2912323727774391,,Signals aligned - high confidence
2001-01-10,HIGH,ALIGNED,4.608125000000001,,0.9068552105748529,,Signals aligned - high confidence
2001-01-11,HIGH,ALIGNED,4.609177884615385,,0.22895520109897927,,Signals aligned - high confidence
2001-01-12,HIGH,ALIGNED,4.525649038461539,,-3.9120715350223545,,Signals aligned - high confidence
2001-01-15,HIGH,ALIGNED,4.482831730769232,,-4.764390098419325,,Signals aligned - high confidence
2001-01-16,HIGH,ALIGNED,4.45966826923077,,-4.8236087184480585,,Signals aligned - high confidence
2001-01-17,HIGH,ALIGNED,4.45966826923077,,-4.8236087184480585,,Signals aligned - high confidence
2001-01-18,HIGH,ALIGNED,4.448788461538462,,-5.607267853153619,,Signals aligned - high confidence
2001-01-19,HIGH,ALIGNED,4.441769230769231,,-5.79828805359136,,Signals aligned - high confidence
2001-01-22,HIGH,ALIGNED,4.441067307692308,,-6.612546125461249,,Signals aligned - high confidence
2001-01-23,HIGH,ALIGNED,4.453000000000001,,-4.429044893040068,,Signals aligned - high confidence
2001-01-24,HIGH,ALIGNED,4.406673076923077,,-5.650736399158395,,Signals aligned - high confidence
2001-01-25,HIGH,ALIGNED,4.414394230769232,,-5.421460260169941,,Signals aligned - high confidence
2001-01-26,HIGH,ALIGNED,4.400706730769231,,-5.430273776302885,,Signals aligned - high confidence
2001-01-29,HIGH,ALIGNED,4.392985576923078,,-5.58907829235179,,Signals aligned - high confidence
2001-01-30,HIGH,ALIGNED,4.371225961538462,,-5.872128174123336,,Signals aligned - high confidence
2001-01-31,HIGH,ALIGNED,4.364557692307693,,-4.690374003678722,,Signals aligned - high confidence
2001-02-01,HIGH,ALIGNED,4.374735576923078,,-4.468117719190678,,Signals aligned - high confidence
2001-02-02,HIGH,ALIGNED,4.325600961538463,,-5.294298447825419,,Signals aligned - high confidence
2001-02-05,HIGH,ALIGNED,4.364557692307693,,-3.8131332663005613,,Signals aligned - high confidence
2001-02-06,HIGH,ALIGNED,4.364557692307693,,-3.2594321275768223,,Signals aligned - high confidence
