report_date	publication_date	balance_year	mine_production_kt	refined_production_kt	refined_demand_kt	balance_kt	notes	
Q1 2012	Apr-12	2012	17400	19950	20176	-226	Ongoing deficit	 lower supply
Q1 2012	Apr-12	2013	18100	20250	20219	31	Near-balanced forecast	
Q2 2012	Jul-12	2011	16720	19670	19869	-199	Market still deficitary	
Q2 2012	Jul-12	2012	17430	19950	20164	-214	2012 forecast deficit	
Q2 2012	Jul-12	2013	18150	20240	20266	-26	Mild deficit forecast	
Q3 2012	Oct-12	2011	16720	19670	19869	-199	Confirmed deficit	
Q3 2012	Oct-12	2012	17430	19950	20149	-199	Deficit continues	
Q3 2012	Oct-12	2013	18250	20400	20533	-133	Deficit narrows	
Q4 2012	Jan-13	2011	16 084	19 651	19 817	-166	Final 2011 deficit; based on “Balance 2011 y Perspectivas 2012–2013”	
Q4 2012	Jan-13	2012	17 026	20 046	20 223	-177	2012 forecast deficit	
Q4 2012	Jan-13	2013	17 912	20 496	20 255	241	Forecast surplus as new mines ramp up	
Q1 2013	Mar-13	2012	17 100	20 090	20 250	-160	Slightly revised 2012 deficit	
Q1 2013	Mar-13	2013	17 950	20 520	20 455	65	Small forecast surplus	
Q1 2013	Mar-13	2014	18 450	21 060	20 970	90	Further surplus expected	
Q2 2013	Jun-13	2012	17 130	20 150	20 310	-160	Deficit unchanged	
Q2 2013	Jun-13	2013	17 950	20 600	20 391	209	Revised higher surplus vs Q1	
Q2 2013	Jun-13	2014	18 500	21 100	20 790	310	Larger forecast surplus	
Q3 2013	Sep-13	2012	17 200	20 150	20 350	-200	Final 2012 deficit	
Q3 2013	Sep-13	2013	17 900	20 670	20 376	294	Surplus from mine growth	
Q3 2013	Sep-13	2014	18 550	21 180	20 853	327	Continued forecast surplus	
Q4 2013	Jan-14	2012	17 100	20 220	20 120	100	Revised 2012 surplus (final)	
Q4 2013	Jan-14	2013	17 950	20 740	20 340	400	Actual 2013 surplus	
Q4 2013	Jan-14	2014	18 600	21 150	20 950	200	Forecast modest surplus for 2014	
Q1 2014	Apr-14	2012	17082	19956	20168	-212	Final 2012 deficit confirmed	
Q1 2014	Apr-14	2013	18292	20884	20509	375	Surplus from mine supply expansion	
Q1 2014	Apr-14	2014	19497	21724	21407	317	Forecast continued surplus	
Q2 2014	Jul-14	2012	17150	20000	20200	-200	2012 final deficit stable	
Q2 2014	Jul-14	2013	18350	20940	20620	320	2013 surplus confirmed	
Q2 2014	Jul-14	2014	19420	21760	21580	180	Surplus narrowing slightly	
Q3 2014	Oct-14	2012	17150	20000	20200	-200	2012 stable deficit baseline	
Q3 2014	Oct-14	2013	18400	21000	20700	300	Final 2013 surplus	
Q3 2014	Oct-14	2014	19500	21900	21700	200	2014 surplus holding steady	
Q4 2014	Jan-15	2013	18423	21030	20950	80	Final 2013 result: balanced market	
Q4 2014	Jan-15	2014	19407	21880	21790	90	Slight 2014 surplus	
Q4 2014	Jan-15	2015	20180	22730	22400	330	2015 forecast surplus from new mine supply	
Q1 2015	Apr-15	2013	18428	21900	21800	100	Final 2013 surplus confirmed	
Q1 2015	Apr-15	2014	18700	22250	22100	150	2014 near balance with small surplus	
Q1 2015	Apr-15	2015	19250	22750	22600	150	Forecast surplus sustained	
Q2 2015	Jul-15	2014	18550	22200	22100	100	Stable 2014 surplus after revision	
Q2 2015	Jul-15	2015	19300	22800	22630	170	Modest 2015 surplus (June update)	
Q2 2015	Jul-15	2016	20250	23750	23375	375	Projected wider 2016 surplus	
Q3 2015	Oct-15	2014	18500	22200	22100	100	Final 2014 numbers consistent	
Q3 2015	Oct-15	2015	19300	22800	22650	150	Surplus holding steady	
Q3 2015	Oct-15	2016	20300	23800	23400	400	Forecast larger 2016 surplus	
Q4 2015	Jan-16	2014	18520	22200	22100	100	2014 finalized near balance	
Q4 2015	Jan-16	2015	19380	22850	22700	150	Market slightly oversupplied	
Q4 2015	Jan-16	2016	20400	23900	23500	400	Forecast surplus driven by mine ramp-up	
Q1 2016	Apr-16	2015	18950	23100	22950	150	Final 2015 surplus per April 2016 report	
Q1 2016	Apr-16	2016	19750	23650	23510	140	Forecast surplus revised down from January	
Q1 2016	Apr-16	2017	20500	24450	24360	90	Forecast small surplus next year	
Q2 2016	Jul-16	2015	18900	23050	22900	150	2015 stable surplus baseline	
Q2 2016	Jul-16	2016	19900	23850	23675	175	Slightly higher surplus vs Q1 estimate	
Q2 2016	Jul-16	2017	20500	24550	24400	150	Surplus maintained	
Q3 2016	Oct-16	2015	18880	23050	22900	150	Confirmed 2015 balance	
Q3 2016	Oct-16	2016	19900	23850	23722	128	Revised lower surplus vs June	
Q3 2016	Oct-16	2017	20500	24550	24436	114	Surplus moderating further	
Q4 2016	Jan-17	2015	18880	23050	22900	150	Final 2015 surplus unchanged	
Q4 2016	Jan-17	2016	19900	23850	23710	140	2016 market near balanced	
Q4 2016	Jan-17	2017	20500	24550	24430	120	Outlook steady surplus under 0.5% of demand	
Q1 2017	Apr-17	2016	20300	23600	23540	60	Final 2016 near balance per Q1 2017 report	
Q1 2017	Apr-17	2017	20400	23700	23785	-85	Forecast deficit from mine disruptions (Escondida	 Grasberg)
Q1 2017	Apr-17	2018	21000	24350	24307	43	Small 2018 forecast surplus	
Q2 2017	Jul-17	2016	20300	23600	23540	60	Confirmed 2016 balance	
Q2 2017	Jul-17	2017	20300	23670	23737	-67	Market deficit â‰ˆ one day of global consumption	
Q2 2017	Jul-17	2018	20600	24000	23938	62	Projected small 2018 surplus	
Q3 2017	Nov-17	2016	20300	23615	23420	195	Final 2016 surplus adjustment	
Q3 2017	Nov-17	2017	20240	23620	23780	-160	2017 forecast deficit per Nov 2017 update	
Q3 2017	Nov-17	2018	20680	24110	24022	88	2018 mild deficit shrinking	
Q4 2017	Jan-18	2017	20378	23615	23647	-33	Final 2017 balance revised to small deficit	
Q4 2017	Jan-18	2018	21134	23886	24061	-175	2018 projected deficit (â‰ˆ4 days of global consumption)	
Q4 2017	Jan-18	2019	21704	24426	24523	-97	2019 forecast mild deficit	 market near balance
Q1 2018	Apr-18	2017	20163	23517	23733	-216	Final 2017 deficit confirmed	
Q1 2018	Apr-18	2018	20969	23952	24121	-169	Forecast deficit ~1.4 days of global demand	
Q1 2018	Apr-18	2019	21520	24492	24579	-87	Projected mild deficit (technical balance)	
Q2 2018	Aug-18	2017	20242	23221	23459	-238	Final 2017 market deficit	
Q2 2018	Aug-18	2018	20686	23551	23564	-13	Revised forecast nearly balanced	
Q2 2018	Aug-18	2019	21347	24063	23972	91	Forecast surplus 91 kt (3.2% mine growth)	
Q3 2018	Nov-18	2017	20242	23221	23459	-238	Confirmed 2017 deficit	
Q3 2018	Nov-18	2018	20700	23600	23550	50	Small 2018 surplus due to stronger refined output	
Q3 2018	Nov-18	2019	21360	24100	24010	90	Forecast modest 2019 surplus	
Q4 2018	Jan-19	2018	20680	23610	23560	50	Final 2018 balance ~+50 kt	
Q4 2018	Jan-19	2019	21340	24120	24030	90	2019 forecast surplus confirmed	
Q4 2018	Jan-19	2020	21950	24680	24590	90	2020 early forecast surplus maintained	
Q1 2019	May-19	2018	20680	23511	23619	-108	Final 2018 deficit per Cochilco May 2019 update	
Q1 2019	May-19	2019	21004	23870	24078	-208	Forecast deficit 0.9% of demand	
Q1 2019	May-19	2020	21707	24354	24557	-202	Projected small deficit 2020	
Q2 2019	Jun-19	2018	20927	23733	23755	-22	Final 2018 nearly balanced	
Q2 2019	Jun-19	2019	20853	23781	23978	-197	Forecast deficit revised smaller	
Q2 2019	Jun-19	2020	21168	24209	24286	-77	Near balanced 2020 outlook	
Q3 2019	Oct-19	2018	20342	23665	23695	-30	Final 2018 balance near zero	
Q3 2019	Oct-19	2019	20450	23676	23778	-102	Deficit narrowing in 2019	
Q3 2019	Oct-19	2020	20719	24123	24075	48	Forecast small 2020 surplus	
Q4 2019	Dec-19	2018	20342	23665	23695	-30	Confirmed 2018 balance	
Q4 2019	Dec-19	2019	20450	23676	23778	-102	Final 2019 deficit ~0.4% of demand	
Q4 2019	Dec-19	2020	20719	24123	24075	48	Forecast surplus 2020 (+0.2% of demand)	
Q1 2020	Mar-20	2019	20666	23923	23818	105	Final 2019 surplus per March 2020 report	
Q1 2020	Mar-20	2020	20410	23531	23402	129	Forecast surplus under COVID contraction	
Q1 2020	Mar-20	2021	20969	24004	23939	65	Projected mild surplus in recovery year	
Q2 2020	Jul-20	2019	20666	23923	23818	105	Confirmed 2019 small surplus	
Q2 2020	Jul-20	2020	20063	23194	23063	131	Forecast 2020 surplus from mine shutdowns	
Q2 2020	Jul-20	2021	21080	23972	23802	171	2021 forecast surplus; demand rebound lag	
Q3 2020	Oct-20	2019	20661	23923	23925	-2	Final 2019 balanced	
Q3 2020	Oct-20	2020	20404	23300	23325	-26	Deficit due to pandemic supply disruption	
Q3 2020	Oct-20	2021	21403	24215	23995	220	Forecast surplus recovery	
Q4 2020	Dec-20	2020	20386	23031	23185	-155	Deficit due to pandemic and restocking	
Q4 2020	Dec-20	2021	21132	23821	23891	-70	Small deficit forecast for 2021	
Q4 2020	Dec-20	2022	22189	24686	24570	116	Forecast 2022 surplus (3.6% refined growth)	
Q1 2021	Apr-21	2020	20624	23376	23415	-39	Final 2020 small deficit per Q1 report	
Q1 2021	Apr-21	2021	21031	24068	24212	-145	Forecast deficit amid post-pandemic recovery	
Q1 2021	Apr-21	2022	22018	25186	25140	46	Forecast small 2022 surplus	
Q2 2021	Jul-21	2020	20660	23348	23393	-45	Final 2020 deficit ~45 kt	
Q2 2021	Jul-21	2021	20898	23813	23966	-153	Forecast 2021 deficit 153 kt	
Q2 2021	Jul-21	2022	21831	24874	24684	190	Forecast 2022 surplus 190 kt	
Q3 2021	Oct-21	2020	20660	23348	23393	-45	Confirmed 2020 deficit	
Q3 2021	Oct-21	2021	20900	23800	23950	-150	2021 deficit revised slightly	
Q3 2021	Oct-21	2022	21800	24860	24670	190	2022 surplus unchanged	
Q4 2021	Dec-21	2021	20920	23840	23970	-130	2021 small deficit per Dec update	
Q4 2021	Dec-21	2022	21850	24900	24700	200	2022 surplus 0.8% of demand	
Q4 2021	Dec-21	2023	22400	25400	25200	200	2023 early forecast surplus	
Q1 2022	Mar-22	2021	21122	24618	24740	-121	Final 2021 deficit per Q1 2022 report	
Q1 2022	Mar-22	2022	21879	25115	25219	-104	Forecast 2022 deficit (post Russia-Ukraine onset)	
Q1 2022	Mar-22	2023	23113	26054	25725	329	Forecast 2023 surplus from mine ramp-ups	
Q2 2022	Jun-22	2021	21122	24618	24740	-121	2021 confirmed deficit	
Q2 2022	Jun-22	2022	21879	25115	25219	-104	Deficit revised steady from Q1	
Q2 2022	Jun-22	2023	23113	26054	25725	329	Forecast large 2023 surplus	
Q3 2022	Sep-22	2021	21310	24724	24884	-160	Final 2021 deficit confirmed	
Q3 2022	Sep-22	2022	22053	25040	25085	-45	2022 near balance	
Q3 2022	Sep-22	2023	23236	26009	25690	318	2023 forecast surplus	
Q4 2022	Dec-22	2022	21630	25300	25180	120	Final 2022 small surplus	
Q4 2022	Dec-22	2023	22525	25676	25743	-67	Forecast 2023 small deficit	
Q4 2022	Dec-22	2024	23622	26883	26514	369	Forecast 2024 surplus	
Q1 2023	Mar-23	2022	21630	25300	25180	123	Final 2022 small surplus per Q4 report	
Q1 2023	Mar-23	2023	22525	25676	25743	-67	Forecast small 2023 deficit	
Q1 2023	Mar-23	2024	23622	26883	26514	369	Forecast 2024 surplus	
Q2 2023	Jul-23	2022	21556	25171	25046	125	Final 2022 surplus per Cochilco	
Q2 2023	Jul-23	2023	22166	25388	25259	130	Forecast 2023 surplus	
Q2 2023	Jul-23	2024	23358	26397	26029	368	Forecast 2024 surplus from mine growth	
Q3 2023	Oct-23	2022	21607	25048	24919	129	Final 2022 surplus	
Q3 2023	Oct-23	2023	21544	25236	25323	-87	2023 deficit from weak demand	
Q3 2023	Oct-23	2024	22794	26306	26130	176	Forecast 2024 surplus	
Q3 2023	Oct-23	2025	23501	26974	26805	170	Forecast 2025 surplus	
Q4 2023	Jan-24	2023	21969	26139	26319	-180	2023 deficit confirmed	
Q4 2023	Jan-24	2024	22994	26882	27059	-177	2024 surplus	
Q4 2023	Jan-24	2025	23742	28095	27755	340	2025 surplus continuation	
Q1 2024	May-24	2023	21954	26422	26786	-118	Final 2023 deficit per Cochilco Q1 2024	
Q1 2024	May-24	2024	22507	27485	27763	-364	Forecast 2024 deficit (supply lagging demand)	
Q1 2024	May-24	2025	23484	28485	28763	-278	Forecast continued 2025 deficit	
Q2 2024	Sep-24	2024	22131	25953	25964	-12	Revised near-balanced 2024 outlook	
Q2 2024	Sep-24	2025	23159	26799	26786	13	Small 2025 surplus forecast	
Q3 2024	Nov-24	2024	22365	25805	25724	81	Updated 2024 surplus after mine rebound	
Q3 2024	Nov-24	2025	23247	26391	26315	76	2025 small surplus per Nov 2024 report	
Q4 2024	Feb-25	2024	22994	26882	27059	126	Final 2024 surplus	
Q4 2024	Feb-25	2025	23742	28095	27755	-118	Forecast 2025 surplus continuation	
Q4 2024	Feb-25	2026	24500	28900	28600	210	Initial 2026 surplus projection	
Q1 2025	May-25	2024	22607	26070	26434	122	Updated deficit (corrected from 2024 projections)	
Q1 2025	May-25	2025	22714	26434	26583	-109	Forecast 2025 deficit per May 2025 report	
Q1 2025	May-25	2026	23431	27078	27059	19	Forecast 2026 near balance / marginal surplus	
Q2 2025	Oct-25	2024	22607	26070	26434	67	Confirmed 2024 deficit	
Q2 2025	Oct-25	2025	22714	26434	26583	51	Updated 2025 deficit (~150 kt)	
Q2 2025	Oct-25	2026	23431	27078	27059	65	Forecast 2026 near balance	
